cusine,name,voteCount,rating,address,cusine,cost,timing
North Indian,Abhilasha Fast Food Centre,12 votes,3.2,"12/17, Ward-95, Prince Golam Hossain Shah Road, Jadavpur, Kolkata",North Indian,₹200,11am – 11pm (Mon-Sun)
Sandwich,Rajasthan Guest House,75 votes,3.4,"19, Zakaria Street, Bara Bazar, Kolkata",Sandwich,₹400,"10am – 2:30pm, 7pm – 11pm (Mon-Sun)"
Sandwich,Mio Amore,13 votes,3.1,"Store Bazar, 1, Ichhapur Defence Estate, Store Bazar, Ghoshpara Road, Ichapur, Howrah",Sandwich,₹150,10am – 10pm (Mon-Sun)
Bakery,Tero Parbon,709 votes,3.7,"49C, Purna Das Road, Hindustan Park, Kolkata",Bakery,₹500,12noon – 10:30pm (Mon-Sun)
Bakery,SweetMishti,Cuisines:,NEW,Delivery Only,Bakery,₹250,4pm – 12midnight (Mon-Sun)
"Biryani, North Indian",TopCat Gastro Pub,51 votes,3.6,"36/F, Offbeat CCU, Topsia Road, Topsia, Kolkata","Biryani, North Indian","₹1,500",12noon – 12midnight (Mon-Sun)
"Biryani, North Indian",Rajendra Hotel,264 votes,3.7,"120A ,Maniktalla Main Road, Kankurgachi, Kolkata","Biryani, North Indian",₹300,"12midnight – 12:45am, 11am – 12midnight..."
"North Indian, Chinese, Fast Food, Beverages",Royz Kitchen,7 votes,3.0,"House 51, Block FC, Rajdanga Main Road, Kasba, Kolkata","North Indian, Chinese, Fast Food, Beverages",₹200,8am – 10pm (Mon-Sun)
"North Indian, Chinese, Fast Food, Beverages",Calcutta Deli,Cuisines:,-,"P 452B, Keyatala Road, Kolkata Municipal Corporation, Southern Avenue, Kolkata","North Indian, Chinese, Fast Food, Beverages",₹500,8am – 10pm (Mon-Sun)
"North Indian, Biryani, Rolls",Crazy Food,105 votes,3.5,"68/1 Narasingha Dutta Road, Kadamtala, Howrah","North Indian, Biryani, Rolls",₹300,"12noon – 3pm, 5pm – 10pm (Mon-Sun)"
"North Indian, Biryani, Rolls",Punjabi's Paratha,38 votes,3.4,"48/3, N.S.C Bose Road, Regent Colony, Tollygunge, Kolkata","North Indian, Biryani, Rolls",₹200,11am – 9pm (Mon-Sun)
"Mishti, Fast Food, South Indian",Agarwal's Food Delivery,612 votes,3.9,"Ravindra Sarobar, Swiss Park, Tollygunge, Kolkata","Mishti, Fast Food, South Indian",₹300,"8am – 3pm, 7pm – 11pm (Mon, Tue, Wed, Fri), 8am..."
"Mishti, Fast Food, South Indian",House Of Commons,138 votes,3.9,"22C/1, Broad Street, Ballygunge, Kolkata","Mishti, Fast Food, South Indian",₹700,12noon – 4am (Mon-Sun)
Mishti,Royal Biryani,12 votes,3.3,"6, B.L. Saha Road, Tollygunge, Kolkata",Mishti,₹300,12noon – 10:30pm (Mon-Sun)
Mishti,Zaika Restaurant,22 votes,3.3,"43/1/1 Bholanath Nandi Lane  Kona Expressway Crossing, Belepole",Mishti,₹500,11am – 9:30pm (Mon-Sun)
"Cafe, Italian, Desserts",Cafe 1A,33 votes,3.8,"1 A, Southend Park, Golpark, Kolkata","Cafe, Italian, Desserts",₹450,8am – 9:30pm (Mon-Sun)
"Cafe, Italian, Desserts",Pou Chong Asian Products,13 votes,3.6,"Ba-38, Bidhannagar- Rajarhat, Sector 1, Salt Lake, Kolkata","Cafe, Italian, Desserts",₹100,11am – 11pm (Mon-Sun)
"Bakery, Desserts, Fast Food",Southern Spice Yummy China,16 votes,3.5,"Plot 13, 14, 15, 16, Khatian 72, 73, At Premises 26, Chanditala Main Road, Behala, Kolkata","Bakery, Desserts, Fast Food",₹500,"12:01am – 2:30am, 11am – 12midnight (Mon-Sun)"
"Bakery, Desserts, Fast Food",The Suruchi Food Center,70 votes,2.5,"67, Raja Ram Mohan Roy Road, Tollygunge, Kolkata","Bakery, Desserts, Fast Food",₹500,11:30am – 11pm (Mon-Sun)
"North Indian, Mughlai, Rolls, Biryani",New Bharat Biryani,14 votes,3.2,"38/27, Maniktala Main Road, Bagmari Bazar, Maniktala, Kolkata","North Indian, Mughlai, Rolls, Biryani",₹250,12noon – 12midnight (Mon-Sun)
"North Indian, Mughlai, Rolls, Biryani",Saha's Kitchen,35 votes,3.4,"32/4, Sahapur Colony, Lot 113/A, New Alipore, Kolkata","North Indian, Mughlai, Rolls, Biryani",₹400,"10am – 2pm, 6pm – 10pm (Mon-Sun)"
"Fast Food, Biryani",Hunger's Chowk,185 votes,3.7,"8/7A, Bijoygarh, Jadavpur, Near 223 Bus Stand, Golf Green, Kolkata","Fast Food, Biryani",₹450,2pm – 12midnight (Mon-Sun)
"Fast Food, Biryani",The Foodiez,192 votes,3.7,"3H/5, Ibrahim Road, Kidderpore, Kolkata","Fast Food, Biryani",₹250,4:30pm – 10:30pm (Mon-Sun)
"North Indian, Chinese, Mughlai",Grab & Grub,31 votes,3.3,"16/1, Rifle Range Road, Ballygunge, Kolkata","North Indian, Chinese, Mughlai",₹350,12noon – 11pm (Mon-Sun)
"North Indian, Chinese, Mughlai",Hungru Pizza,118 votes,3.7,"19, Mondal Para First Lane, James Long Sarani, Beside MP Birla School, Behala, Kolkata","North Indian, Chinese, Mughlai",₹400,10am – 11pm (Mon-Sun)
"North Indian, Fast Food, Chinese",Rayaz,41 votes,3.4,"1, Badam Talla, Prince Anwar Shah Road, Kolkata","North Indian, Fast Food, Chinese",₹200,10am – 11pm (Mon-Sun)
"North Indian, Fast Food, Chinese",Shamim Biryani Centre,31 votes,3.3,"3D/H/7, Ground Floor, Ward 28, BR 4, Dr. M.N. Chatterjee Sarani, Sealdah Area, Kolkata","North Indian, Fast Food, Chinese",₹200,11am – 11pm (Mon-Sun)
"Chinese, North Indian, Street Food",Wow Murgi,15 votes,3.1,"117/2, Rajdanga Gold Park, Kasba, Kolkata","Chinese, North Indian, Street Food",₹300,4pm – 4am (Mon-Sun)
"Chinese, North Indian, Street Food",Khaee Khaee Food,19 votes,3.4,"214, Jodhpur Park, Kolkata","Chinese, North Indian, Street Food",₹200,8am – 4am (Mon-Sun)
Chinese,Lagan,26 votes,3.5,"62/1, Molla Para Lane, Naora, Shibpur, Howrah",Chinese,₹800,12noon – 11pm (Mon-Sun)
Chinese,The London Shakes And Cafe,18 votes,3.3,"P-9, CIT Road Scheme-6M, Swami Swarupananda Sarani, Kankurgachi, Kolkata",Chinese,₹700,12noon – 10pm (Mon-Sun)
"Chinese, Fast Food, North Indian",New Real Hotel,26 votes,3.3,"283/14, Belillious Road, Howrah Maidan Area, Howrah","Chinese, Fast Food, North Indian",₹150,"12:01am – 2am, 6am – 12midnight (Mon-Sun)"
"Chinese, Fast Food, North Indian",Ammini,620 votes,4.0,"22/1C, Near Sarat Bose Road, Hazra, Kolkata","Chinese, Fast Food, North Indian",₹500,"12noon – 10:30pm (Mon-Fri),9:30am – 10:30pm..."
Fast Food,Parashuram Restaurant,100 votes,3.4,"P1, Mukharam Kanoria Road, Howrah Station Area, Howrah",Fast Food,₹500,8:30am – 11pm (Mon-Sun)
Fast Food,Anamika Roll Centre,516 votes,4.1,"Triangular Park, New Alipore, Kolkata",Fast Food,₹200,4pm – 10pm (Mon-Sun)
"Chinese, Continental, Pizza, Fast Food",South Indian Best Food,135 votes,3.8,"164/1, Scheme VII M, VIP Road, Ultadanga, Kolkata","Chinese, Continental, Pizza, Fast Food",₹150,7:30am – 9:30pm (Mon-Sun)
"Chinese, Continental, Pizza, Fast Food",Popular,105 votes,3.8,"114 B, Prince Anwar Shah Road, Kolkata","Chinese, Continental, Pizza, Fast Food",₹250,7am – 11pm (Mon-Sun)
Fast Food,Chowrasia Chaats,255 votes,3.8,"Broadway Mall, IB 177/178, Sector 3, Salt Lake, Kolkata",Fast Food,₹200,10am – 10pm (Mon-Sun)
Fast Food,Swadhin Bharat Hindu Hotel,171 votes,4.0,"8/2, Bhawani Dutta Lane, College Street, Kolkata",Fast Food,₹250,"9am – 3:30pm, 7pm – 10pm (Mon-Sun)"
"North Indian, Chinese, Fast Food",Shun Li,Cuisines:,,"9B, Matheshwartala Road, Tangra, Kolkata","North Indian, Chinese, Fast Food","₹1,000",
"North Indian, Chinese, Fast Food",Bridge View,244 votes,3.5,"159/1, Shibpur Road, Mandirtala, Shibpur, Howrah","North Indian, Chinese, Fast Food",₹400,3pm – 10:30pm (Mon-Sun)
Mishti,Omji's Restaurant,39 votes,3.4,"68, Cotton Street, Utkalmani Gopabandhu Sarani, Bara Bazar, Kolkata",Mishti,₹300,"9:30am – 1pm, 7pm – 10pm (Mon-Sun)"
Mishti,Mallika,173 votes,3.4,"FE 11, Near Central Park, Sector 3, Salt Lake, Kolkata",Mishti,₹600,12noon – 10pm (Mon-Sun)
"Italian, Continental, Fast Food, Beverages",Indian Coffee House,3242 votes,3.6,"15, Bankim Chatterjee Street, College Street, Kolkata","Italian, Continental, Fast Food, Beverages",₹300,"9am – 9pm (Mon-Sat),9am – 1pm, 5pm – 9pm (Sun)"
"Italian, Continental, Fast Food, Beverages",Delek Kitchen,202 votes,3.7,"1/6, Baghajatin, Kolkata","Italian, Continental, Fast Food, Beverages",₹300,1pm – 11pm (Mon-Sun)
Street Food,Arman Biryani,433 votes,3.5,"103/1, Picnic Garden Road, Picnic Garden, Kolkata",Street Food,₹300,12noon – 2am (Mon-Sun)
Street Food,Tak Heng,557 votes,4.0,"P 452B, Keyatala Road, Southern Avenue, Kolkata",Street Food,₹900,12noon – 11pm (Mon-Sun)
South Indian,Balaji South Indian Food,91 votes,3.4,"Tilottama Queen Building, Dharapara Rangkal Math, Rooplekha Beauty Parlour Street, Behala, Kolkata",South Indian,₹200,8am – 10pm (Mon-Sun)
South Indian,The Singh Saheb Dhaba,24 votes,3.0,"15, Ground Floor, N.S.C. Bose Road, Tollygunge, Kolkata",South Indian,₹300,7:30am – 11:30pm (Mon-Sun)
"Continental, Beverages, Desserts, Italian, Fast Food, Kebab",Cake Goals,192 votes,3.2,"515/4, 4th Floor, Dubey Bhawan, G.T. Road, Sandhya Bazar, Shibpur, Howrah","Continental, Beverages, Desserts, Italian, Fast Food, Kebab",₹300,9am – 9pm (Mon-Sun)
"Continental, Beverages, Desserts, Italian, Fast Food, Kebab",Pool Cafe,Cuisines:,,"261/276/277/7/2, G T Road North, Salkia, Howrah","Continental, Beverages, Desserts, Italian, Fast Food, Kebab",₹250,
Mishti,Chinese Quisine,Cuisines:,,"25, Karl Marx Sarani, Kidderpore, Kolkata",Mishti,₹250,
Mishti,Hungry Honchoz,Cuisines:,NEW,"16, Suren Tagore Road, Gariahat, Kolkata",Mishti,₹300,12noon – 10pm (Mon-Sun)
Desserts,Khanti Damodaar Seth,48 votes,3.3,"408, Jodhpur Park, Kolkata",Desserts,₹400,12noon – 11pm (Mon-Sun)
Desserts,Chandigarh Rasoi,12 votes,3.2,"27, Rai Charan Ghosh Lane, Picnic

 Garden, Kolkata",Desserts,₹450,"12midnight – 3am, 10:30am – 12midnight (Mon-Sun)"
"Chinese, North Indian, Mughlai",Chinese Pandit,579 votes,3.6,"3/22, Near Azadgarh Post Office, Azadgarh, Tollygunge, Kolkata","Chinese, North Indian, Mughlai",₹500,12noon – 11:30pm (Mon-Sun)
"Chinese, North Indian, Mughlai",Café Calcutta,101 votes,4.0,"V.A.S House, SC Rajani Sen Road, Southern Avenue, Kolkata","Chinese, North Indian, Mughlai",₹600,"Closed (Mon),12noon – 9:30pm (Tue-Sun)"
"Fast Food, Street Food",Momo Hidden Flavour,54 votes,3.6,"C/13A, 130/85A, Katju Nagar, Prince Golam Hossain Shah, Jadavpur, Kolkata","Fast Food, Street Food",₹300,2pm – 11:30pm (Mon-Sun)
"Fast Food, Street Food",Hindusthan Dhaba,800 votes,3.8,"52/1/1A, Near Medical College, College Street, Kolkata","Fast Food, Street Food",₹700,11am – 11pm (Mon-Sun)
"Fast Food, Desserts",Maa Trinayani Restaurant,134 votes,3.4,"83, Near Lakhan Kutir, Garfa Main Road, Jadavpur, Kolkata","Fast Food, Desserts",₹500,8:45am – 10:45pm (Mon-Sun)
"Fast Food, Desserts",Jain Basa,36 votes,3.3,"Opposite Satyanarayan Park, AC Market, Gate 2, Bara Bazar, Kolkata","Fast Food, Desserts",₹200,8am – 2:30am (Mon-Sun)
"Ice Cream, Fast Food, Beverages",Flavour of Chennai,35 votes,3.5,"2/129, Bijoygarh, Opposite Maa Archana Ashram, Jadavpur, Kolkata","Ice Cream, Fast Food, Beverages",₹300,8:30am – 10:30pm (Mon-Sun)
"Ice Cream, Fast Food, Beverages",The Bengal Lounge,87 votes,3.9,"3rd Floor, Royal Exchange, 6 - Netaji Subhash Road, Dalhousie BBD Bagh, Kolkata","Ice Cream, Fast Food, Beverages",₹800,"12:30pm – 9:30pm (Mon-Sat),Closed (Sun)"
"North Indian, Mughlai, Beverages",The Howrah Bridge,270 votes,3.6,"20/2 B, K.P. Roy Lane, Sahid Nagar, Jadavpur, Kolkata","North Indian, Mughlai, Beverages",₹550,1pm – 11pm (Mon-Sun)
"North Indian, Mughlai, Beverages",New Palace,272 votes,3.6,"10G, S.P. Mukherjee Road, Bhawanipur, Kolkata","North Indian, Mughlai, Beverages",₹500,11am – 11pm (Mon-Sun)
"Desserts, Ice Cream, Beverages",Khaza Biryani House,155 votes,3.6,"7, Sadananda Road, Hazra, Kolkata","Desserts, Ice Cream, Beverages",₹300,11:30am – 11pm (Mon-Sun)
"Desserts, Ice Cream, Beverages",Kalika,523 votes,4.1,"29, Surya Sen Street, College Square, College Street, Kolkata","Desserts, Ice Cream, Beverages",₹100,"3pm – 8pm (Mon-Sat),Closed (Sun)"
Biryani,Bandana Chat Centre,195 votes,3.5,"318, Girish Park, Kolkata",Biryani,₹150,8am – 9pm (Mon-Sun)
Biryani,Hakka Village Chinese Restaurant,48 votes,3.5,"104/H, Maheshwartala Road, Tangra, Kolkata",Biryani,₹900,1pm – 10:30pm (Mon-Sun)
"Biryani, North Indian",Purple Turtle,486 votes,3.8,"227, Jodhpur Garden, Prince Anwar Shah Road, Kolkata","Biryani, North Indian",₹750,11am – 10:30pm (Mon-Sun)
"Biryani, North Indian",Anamika Fast  Food Center,168 votes,3.3,"4, Picnic Garden Road, Near 39 Bus Stand, Picnic Garden, Kolkata","Biryani, North Indian",₹300,1pm – 12midnight (Mon-Sun)
"Fast Food, Street Food",Dayal South Indian Corner,83 votes,3.8,"44, Chintamoni Dey Road, Howrah Maidan Area, Howrah","Fast Food, Street Food",₹250,8am – 9:30pm (Mon-Sun)
"Fast Food, Street Food",Bongnese,105 votes,3.8,"FE 8, FE Block Sector 3, Salt Lake, Kolkata","Fast Food, Street Food","₹1,000",12noon – 10:30pm (Mon-Sun)
"Momos, Sandwich, Burger",Ani's Kitchen,358 votes,3.9,"Near Howrah Station Area, Ram Charan Seth Road, Ramrajatala, Kona Exp Way, Howrah, Kolkata","Momos, Sandwich, Burger",₹800,12noon – 11pm (Mon-Sun)
"Momos, Sandwich, Burger",Dosa Junction,Cuisines:,-,"New Alipore Heights, Buroshibtalla Main Road, Behala, Kolkata","Momos, Sandwich, Burger",₹300,9am – 10:30pm (Mon-Sun)
Mishti,Sholo Ana Boithok,13 votes,3.4,"Near Central park, Golf Green, taltalla, Kolkata",Mishti,₹400,11am – 10:30pm (Mon-Sun)
Mishti,The Spring's,83 votes,4.1,"35A, Raja Basanta Roy Road, Kalighat, Kolkata",Mishti,₹550,"Closed (Mon),12:30pm – 9:30pm (Tue-Sun)"
"Chinese, North Indian, Mughlai",The Royal Bengal Tiger Cafe,816 votes,3.9,"91, Module Shanti, Golf Club Road, Rajendra Prasad Colony, Tollygunge, Kolkata","Chinese, North Indian, Mughlai",₹350,10am – 11pm (Mon-Sun)
"Chinese, North Indian, Mughlai",New Al Habib Biryani,4 votes,3.0,"I-216/B, Paharpur Road, Kidderpore, Kolkata","Chinese, North Indian, Mughlai",₹400,11am – 11pm (Mon-Sun)
"Fast Food, Ice Cream",Mandarin Oak,9 votes,3.2,Delivery Only,"Fast Food, Ice Cream",₹600,11am – 11pm (Mon-Sun)
"Fast Food, Ice Cream",LSD Cafe & Restaurant,10 votes,3.1,"46/1, Raja S. C Murli Cross, Jadavpur, Kolkata","Fast Food, Ice Cream",₹250,9am – 12midnight (Mon-Sun)
"Fast Food, North Indian, Beverages",Zeehan Cuisines,4 votes,3.2,"62, Upen Banerjee Road, Behala, Kolkata","Fast Food, North Indian, Beverages",₹150,"12noon – 12midnight (Mon, Tue, Wed, Thu, Sat..."
"Fast Food, North Indian, Beverages",Brewbakes,72 votes,3.8,"202B, 1st Floor, Gariahat Road, Jodhpur Park, Kolkata","Fast Food, North Indian, Beverages",₹500,12:30pm – 10:30pm (Mon-Sun)
"North Indian, South Indian, Fast Food, Chinese",N.J. Nagpal Desserts,29 votes,3.5,Delivery Only,"North Indian, South Indian, Fast Food, Chinese",₹300,8am – 8pm (Mon-Sun)
"North Indian, South Indian, Fast Food, Chinese",The Tunnel,101 votes,3.8,"120 A, Manicktala Main Road, Kankurgachi, Kolkata","North Indian, South Indian, Fast Food, Chinese",₹800,11am – 2am (Mon-Sun)
Biryani,Hazi Shaheb,57 votes,3.2,"66, Sarat Bose Road, Chakraberia, Hazra, Kolkata",Biryani,₹200,11am – 10pm (Mon-Sun)
Biryani,Rehan's Restaurant,128 votes,3.9,"68, Bhupen Bose Avenue, Near Manindra College, Shyam Bazar, Kolkata",Biryani,₹500,11am – 11pm (Mon-Sun)
"Cafe, Tea",London Pizza & Shakes,125 votes,3.5,"5, Dr. Sudhir Basu Road, Kidderpore, Kolkata","Cafe, Tea",₹250,11am – 11pm (Mon-Sun)
"Cafe, Tea",Bake o Cake,247 votes,3.7,"P-7B, Ground Floor, Swami Swarupananda Sarani, Ward 031, Kankurgachi, Kolkata","Cafe, Tea",₹300,8:30am – 9:30pm (Mon-Sun)
Ice Cream,Creamy Confessionss,8 votes,3.2,"94, Manik Bandopadhay Road, Golf Green, Kolkata",Ice Cream,₹300,9am – 9:30pm (Mon-Sun)
Ice Cream,Mambo's Recipe,119 votes,3.6,"155/1, Rajdanga, Nabapally, Kasba, Kolkata",Ice Cream,₹600,"8am – 10pm (Mon, Tue, Wed, Fri, Sat, Sun), 8am –..."
"Asian, North Indian, Mexican",Biswanath Food Centre,71 votes,3.6,"9/4, Beadon Street, Girish Park, Kolkata","Asian, North Indian, Mexican",₹250,5pm – 12midnight (Mon-Sun)
"Asian, North Indian, Mexican",Mukharuchi Restaurant,99 votes,3.3,"151/B, Beliaghata Main Road, Beliaghata, Kolkata","Asian, North Indian, Mexican",₹300,11am – 10pm (Mon-Sun)
Desserts,Nebula Restaurant,79 votes,2.6,"20A, Bhupendra Bose Avenue, Near Shyam Bazar Metro Station Main Gate, Shyam Bazar, Kolkata",Desserts,₹400,10:30am – 10:30pm (Mon-Sun)
Desserts,Laziz,58 votes,2.4,"16, Kalitala Road, Kalikapur, Kolkata",Desserts,₹350,1pm – 10pm (Mon-Sun)
Chinese,Royal Lebanese,613 votes,3.5,"187, Sarat Bose Road",Chinese,₹700,11:30am – 12midnight (Mon-Sun)
Chinese,Sitaram's,331 votes,3.5,"30, Mukhram Kanoria Road, Howrah Station Area, Howrah",Chinese,₹250,12noon – 10pm (Mon-Sun)
"Mishti, Fast Food",New Basanta Cabin,80 votes,2.7,"65, Bidhan Sarani, Hatibagan, Kolkata","Mishti, Fast Food",₹200,10am – 10pm (Mon-Sun)
"Mishti, Fast Food",Dicky's Restaurant,103 votes,2.8,"52, Kuber Garden, Harish Mukherjee Road, Hazra, Kolkata","Mishti, Fast Food",₹400,11am – 10:30pm (Mon-Sun)
"Chinese, Rolls",Curry Nation,62 votes,3.6,"IB 194, Near Columbia Asia Hospital, Sector 3, Salt Lake, Kolkata","Chinese, Rolls",₹800,12noon – 11pm (Mon-Sun)
"Chinese, Rolls",Haji Alauddin Sweets,118 votes,4.2,"56, Phears Lane, Near Central Metro Station, Bara Bazar, Kolkata","Chinese, Rolls",₹200,7am – 10pm (Mon-Sun)
"Chinese, Tibetan",Kim Ling,979 votes,3.9,"13, South Tangra Road, Tangra, Kolkata","Chinese, Tibetan",₹900,12noon – 10pm (Mon-Sun)
"Chinese, Tibetan",New Punjab Sweets,43 votes,3.5,"54, Dobson Road, Howrah","Chinese, Tibetan",₹100,7am – 10pm (Mon-Sun)
"North Indian, Continental, Thai",Soms Crispy Chicken,393 votes,3.7,"182/2, Andul Road, Shibpur, Howrah","North Indian, Continental, Thai",₹200,1pm – 11pm (Mon-Sun)
"North Indian, Continental, Thai",Bangorasana Bengali Cuisine,Cuisines:,NEW,"34/4, Bose Pukur Road, Bosepukur, Kasba, Kolkata","North Indian, Continental, Thai",₹400,10am – 10pm (Mon-Sun)
"North Indian, Chinese, Bengali",Open House,49 votes,3.4,"9/1, Hardutt Rai Chamaria Road, Dobson Road, Howrah","North Indian, Chinese, Bengali",₹300,9am – 10pm (Mon-Sun)
"North Indian, Chinese, Bengali",Kulfi Station,Cuisines:,-,"FE 50, Sector 3, Salt Lake, Kolkata","North Indian, Chinese, Bengali",₹100,11am – 11pm (Mon-Sun)
North Indian,Yumpty Food Street,28 votes,3.5,"125, Ground Floor, Muktaram Babu Street, College Street, Kolkata",North Indian,₹200,11am – 9pm (Mon-Sun)
North Indian,Cafe Town,21 votes,3.5,"109, Muktaram Babu Street, Near Ram Mandir, College Street, Kolkata",North Indian,₹250,11am – 9:30pm (Mon-Sun)
"North Indian, Chinese, Mughlai",Udichis Kitchen,25 votes,3.3,"132A/1X, Raja Rajendralal Mitra Road, Opposite D.C. Office, Beliaghata, Kolkata","North Indian, Chinese, Mughlai",₹300,11am – 11pm (Mon-Sun)
"North Indian, Chinese, Mughlai",FNP Cakes ‘N’ More,8 votes,3.0,"3, Block B, Ustad Allaudin Khan Sarani, New Alipore, Kolkata","North Indian, Chinese, Mughlai",₹650,10am – 10pm (Mon-Sun)
"North Indian, Mughlai, Chinese",Pannar Bangaliana,24 votes,3.5,"60, Near Vidyasagar Hospital, DH Road, Behala, Kolkata","North Indian, Mughlai, Chinese",₹400,12noon – 10:45pm (Mon-Sun)
"North Indian, Mughlai, Chinese",Aahar Bahar,14 votes,3.3,"3B/1, Kali Prashana Roy Lane, Tollygunge, Kolkata","North Indian, Mughlai, Chinese",₹600,"11:30am – 11pm (Mon, Tue, Thu, Fri, Sat), 1am –..."
"Juices, Beverages, Healthy Food",Ia Food Plaza,41 votes,3.5,"154, Santoshpur Avenue Survey Park, Santoshpur, Kolkata","Juices, Beverages, Healthy Food",₹250,5pm – 11:30pm (Mon-Sun)
"Juices, Beverages, Healthy Food",Kolkata Jomjomat,14 votes,3.3,"32, 3rd Floor, Avani Riverside Mall, Jagat Banerjee Ghat Road, Shibpur, Howrah","Juices, Beverages, Healthy Food",₹350,11am – 10:30pm (Mon-Sun)
"Street Food, Mithai",Jalajoga Misti,43 votes,3.6,"142, Bidhan Sarani,  Near Star Theater, Hatibagan, Kolkata","Street Food, Mithai",₹300,9am – 10pm (Mon-Sun)
"Street Food, Mithai",Food Point,13 votes,3.3,"RA 449, Nabapally, Near Misti Mukh Chingrighata Sector 4, Salt Lake, Kolkata","Street Food, Mithai",₹300,5pm – 11:30pm (Mon-Sun)
"North Indian, Continental, Chinese",Ujjala Chanachur,51 votes,3.8,"116, Shyama Prasad Mukherjee Road, Kalighat, Kolkata","North Indian, Continental, Chinese",₹100,10am – 10pm (Mon-Sun)
"North Indian, Continental, Chinese",Foodshed,34 votes,3.2,"87/12, Bose Pukur Road, Kasba, Kolkata","North Indian, Continental, Chinese",₹550,8am – 4am (Mon-Sun)
"Fast Food, Italian, Beverages",Rahat Biryani,9 votes,3.3,"239, Naora, Netaji Subhash Road, Shibpur, Howrah","Fast Food, Italian, Beverages",₹200,12noon – 11:30pm (Mon-Sun)
"Fast Food, Italian, Beverages",Mother Kitchen,19 votes,3.1,"5, Nather Bagan Street, Shobha Bazar, Kolkata","Fast Food, Italian, Beverages",₹100,11:30am – 11:55pm (Mon-Sun)
"Chinese, Street Food",Kesar,10 votes,3.0,"46/1, Lakshman Das Lane, Panchanantalla Road, Howrah Station Area, Howrah","Chinese, Street Food",₹300,9am – 9pm (Mon-Sun)
"Chinese, Street Food",Shital Fast Food,9 votes,3.0,"53 A, Bhupen Bose Avenue, Near Raja Bhallav Para, Shyam Bazar, Kolkata","Chinese, Street Food",₹200,10am – 10pm (Mon-Sun)
"Chinese, Asian",Al-Baik Restaurant,102 votes,3.5,"2/1, Chowbaga Road, Near 42 Bus Stand, SBI Bank, Picnic Garden, Kolkata","Chinese, Asian",₹200,12noon – 3am (Mon-Sun)
"Chinese, Asian",Nasta,254 votes,4.0,"P 52, CIT Road, Scheme 7 M, Near 3A Bus Stand, Kankurgachi, Kolkata","Chinese, Asian",₹150,"6am – 11am, 3pm – 9pm (Mon-Sun)"
South Indian,Foody.com,34 votes,3.5,"13/14, Ariff Road, Ultadanga, Kolkata",South Indian,₹250,11am – 11pm (Mon-Sun)
South Indian,Capri Restaurant,193 votes,3.5,"45, Beadon Street, Hatibagan, Kolkata",South Indian,₹600,12noon – 11pm (Mon-Sun)
Mishti,Haji Abdul Biryani House,17 votes,3.2,"177, Andul Road, Howrah Chunabati More, Andul Road",Mishti,₹150,12noon – 11pm (Mon-Sun)
Mishti,Rajasthan Bhojnalaya,273 votes,3.5,"94, Cotton Street, Bara Bazar, Kolkata",Mishti,₹300,"10:30am – 3:30pm, 6pm – 11pm (Mon-Sun)"
"North Indian, Chinese, Mughlai, Bengali",B.M. Fast Food,151 votes,3.6,"1/60, Near Jadavgarh MPL Market, Sucheta Nagar, Haltu Bazaar Main Road, Kalikapur, Kolkata","North Indian, Chinese, Mughlai, Bengali",₹350,12noon – 11pm (Mon-Sun)
"North Indian, Chinese, Mughlai, Bengali",Sanghai Pure Chinese Food,257 votes,3.8,"10/A, Krishna Ram Bose Street, Shyam Bazar, Kolkata","North Indian, Chinese, Mughlai, Bengali",₹500,2pm – 10:30pm (Mon-Sun)
"Biryani, Chinese, North Indian, Fast Food, Beverages, Sandwich",Go Green,311 votes,3.5,"P 252, 1st Floor, C.I.T. Road, Scheme 6M, Kankurgachi, Kolkata","Biryani, Chinese, North Indian, Fast Food, Beverages, Sandwich","₹1,000","12:30pm – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)"
"Biryani, Chinese, North Indian, Fast Food, Beverages, Sandwich",Sangu Valley,266 votes,3.6,"6A, Shyam Prasad Mukharjee Road, Bhawanipur, Kolkata","Biryani, Chinese, North Indian, Fast Food, Beverages, Sandwich",₹300,11am – 10pm (Mon-Sun)
"Pizza, Chinese, Fast Food",Chocolust,124 votes,3.7,"154, Desapriya Park - West, Kolkata","Pizza, Chinese, Fast Food",₹300,8am – 9:45pm (Mon-Sun)
"Pizza, Chinese, Fast Food",Baker's Nest,681 votes,3.9,"Shop EC 263, Near EC Local Market, Sector 1, Salt Lake, Kolkata","Pizza, Chinese, Fast Food",₹800,11am – 11pm (Mon-Sun)
"Bakery, Desserts",Bune -The Coffee Room,149 votes,3.5,"14 A, Lake View Road, Desapriya Park, Kolkata","Bakery, Desserts",₹500,1pm – 10pm (Mon-Sun)
"Bakery, Desserts",Hotel Swagath,359 votes,3.9,"37, Near Ritchie Road Crossing, Hazra, Kolkata","Bakery, Desserts",₹750,7am – 10pm (Mon-Sun)
Chinese,Maharani,805 votes,4.1,"174, Sarat Bose Road, Lake Market Area, Kolkata",Chinese,₹100,"6am – 12noon, 3pm – 9pm (Mon-Sun)"
Chinese,DBH,40 votes,3.4,"247, B.B Chatterjee Road, Kasba, Kolkata",Chinese,₹400,11am – 11pm (Mon-Sun)
